,location,sex,year,life_exp,population,cause, death_count,prob_of_death
0,Global,Male,1990,63.0490280924842,2685743010.37439,All causes,24810216.484447528,1.000153149894073
1,Global,Male,1990,63.0490280924842,2685743010.37439,All causes,1379352505.6919594,1.000153149894073
2,Global,Male,1990,63.0490280924842,2685743010.37439,"Communicable, maternal, neonatal, and nutritional diseases",7944474.9400419025,0.1988944298946973
3,Global,Male,1990,63.0490280924842,2685743010.37439,"Communicable, maternal, neonatal, and nutritional diseases",603467860.7578138,0.1988944298946973
4,Global,Male,1990,63.0490280924842,2685743010.37439,Injuries,2844247.7383581894,0.0794932129291975
5,Global,Male,1990,63.0490280924842,2685743010.37439,Injuries,186285283.5544558,0.0794932129291975
6,Global,Male,1990,63.0490280924842,2685743010.37439,Total cancers,3267604.8812448946,0.1616190006580483
7,Global,Male,1990,63.0490280924842,2685743010.37439,Total cancers,95856203.5780081,0.1616190006580483
8,Global,Male,1990,63.0490280924842,2685743010.37439,Other COVID-19 pandemic-related outcomes,0.0,0.0
9,Global,Male,1990,63.0490280924842,2685743010.37439,Other COVID-19 pandemic-related outcomes,0.0,0.0
10,Global,Male,1990,63.0490280924842,2685743010.37439,Non-communicable diseases,14021493.806047404,0.7217655070701781
11,Global,Male,1990,63.0490280924842,2685743010.37439,Non-communicable diseases,589599361.3796912,0.7217655070701781
12,Global,Female,1990,68.07678023400382,2647880415.2657723,All causes,21287752.253257133,1.000100374709887
13,Global,Female,1990,68.07678023400382,2647880415.2657723,All causes,1207082415.353985,1.000100374709887
14,Global,Female,1990,68.07678023400382,2647880415.2657723,"Communicable, maternal, neonatal, and nutritional diseases",7192283.376020735,0.1918065026120905
15,Global,Female,1990,68.07678023400382,2647880415.2657723,"Communicable, maternal, neonatal, and nutritional diseases",554013618.6642226,0.1918065026120905
16,Global,Female,1990,68.07678023400382,2647880415.2657723,Injuries,1341532.4508040068,0.0448885683387028
17,Global,Female,1990,68.07678023400382,2647880415.2657723,Injuries,92440214.98760328,0.0448885683387028
18,Global,Female,1990,68.07678023400382,2647880415.2657723,Total cancers,2498122.057695036,0.1319106228461305
19,Global,Female,1990,68.07678023400382,2647880415.2657723,Total cancers,73497649.10267213,0.1319106228461305
20,Global,Female,1990,68.07678023400382,2647880415.2657723,Other COVID-19 pandemic-related outcomes,0.0,0.0
21,Global,Female,1990,68.07678023400382,2647880415.2657723,Other COVID-19 pandemic-related outcomes,0.0,0.0
22,Global,Female,1990,68.07678023400382,2647880415.2657723,Non-communicable diseases,12753936.426432395,0.7634053037590935
23,Global,Female,1990,68.07678023400382,2647880415.2657723,Non-communicable diseases,560628581.7021587,0.7634053037590935
24,Global,Both,1990,65.49334461410432,5333623425.640162,All causes,46097968.73770463,1.0000712765063635
25,Global,Both,1990,65.49334461410432,5333623425.640162,All causes,2586434921.045946,1.0000712765063635
26,Global,Both,1990,65.49334461410432,5333623425.640162,"Communicable, maternal, neonatal, and nutritional diseases",15136758.31606264,0.1953459447191518
27,Global,Both,1990,65.49334461410432,5333623425.640162,"Communicable, maternal, neonatal, and nutritional diseases",1157481479.4220357,0.1953459447191518
28,Global,Both,1990,65.49334461410432,5333623425.640162,Injuries,4185780.189162198,0.0626570722499934
29,Global,Both,1990,65.49334461410432,5333623425.640162,Injuries,278725498.54205924,0.0626570722499934
30,Global,Both,1990,65.49334461410432,5333623425.640162,Total cancers,5765726.938939927,0.1468784591986958
31,Global,Both,1990,65.49334461410432,5333623425.640162,Total cancers,169353852.6806801,0.1468784591986958
32,Global,Both,1990,65.49334461410432,5333623425.640162,Other COVID-19 pandemic-related outcomes,0.0,0.0
33,Global,Both,1990,65.49334461410432,5333623425.640162,Other COVID-19 pandemic-related outcomes,0.0,0.0
34,Global,Both,1990,65.49334461410432,5333623425.640162,Non-communicable diseases,26775430.232479807,0.742068259537218
35,Global,Both,1990,65.49334461410432,5333623425.640162,Non-communicable diseases,1150227943.08185,0.742068259537218
36,Global,Male,1991,63.17214150384258,2728570277.9505687,All causes,25093737.046371598,1.0001433020390762
37,Global,Male,1991,63.17214150384258,2728570277.9505687,All causes,1386618886.832189,1.0001433020390762
38,Global,Male,1991,63.17214150384258,2728570277.9505687,"Communicable, maternal, neonatal, and nutritional diseases",7922894.351039632,0.1976817950880353
39,Global,Male,1991,63.17214150384258,2728570277.9505687,"Communicable, maternal, neonatal, and nutritional diseases",599148523.4473853,0.1976817950880353
40,Global,Male,1991,63.17214150384258,2728570277.9505687,Injuries,2902836.9425265198,0.0803893558115733
41,Global,Male,1991,63.17214150384258,2728570277.9505687,Injuries,189215798.2312623,0.0803893558115733
42,Global,Male,1991,63.17214150384258,2728570277.9505687,Total cancers,3328661.2151282304,0.1618291533698658
43,Global,Male,1991,63.17214150384258,2728570277.9505687,Total cancers,97363507.01503758,0.1618291533698658
44,Global,Male,1991,63.17214150384258,2728570277.9505687,Other COVID-19 pandemic-related outcomes,0.0,0.0
45,Global,Male,1991,63.17214150384258,2728570277.9505687,Other COVID-19 pandemic-related outcomes,0.0,0.0
46,Global,Male,1991,63.17214150384258,2728570277.9505687,Non-communicable diseases,14268005.752805406,0.7220721511394675
47,Global,Male,1991,63.17214150384258,2728570277.9505687,Non-communicable diseases,598254565.1535418,0.7220721511394675
48,Global,Female,1991,68.20225637817573,2687943649.973739,All causes,21497034.913358424,1.000091463283938
49,Global,Female,1991,68.20225637817573,2687943649.973739,All causes,1213585115.9196618,1.000091463283938
50,Global,Female,1991,68.20225637817573,2687943649.973739,"Communicable, maternal, neonatal, and nutritional diseases",7155153.965500671,0.190168983405477
51,Global,Female,1991,68.20225637817573,2687943649.973739,"Communicable, maternal, neonatal, and nutritional diseases",549518220.8150945,0.190168983405477
52,Global,Female,1991,68.20225637817573,2687943649.973739,Injuries,1405759.088425047,0.0461122176544981
53,Global,Female,1991,68.20225637817573,2687943649.973739,Injuries,96651781.98882434,0.0461122176544981
54,Global,Female,1991,68.20225637817573,2687943649.973739,Total cancers,2541140.839884466,0.1322730895772262
55,Global,Female,1991,68.20225637817573,2687943649.973739,Total cancers,74519919.2105791,0.1322730895772262
56,Global,Female,1991,68.20225637817573,2687943649.973739,Other COVID-19 pandemic-related outcomes,0.0,0.0
57,Global,Female,1991,68.20225637817573,2687943649.973739,Other COVID-19 pandemic-related outcomes,0.0,0.0
58,Global,Female,1991,68.20225637817573,2687943649.973739,Non-communicable diseases,12936121.859432688,0.7638102622239628
59,Global,Female,1991,68.20225637817573,2687943649.973739,Non-communicable diseases,567415113.1157428,0.7638102622239628
60,Global,Both,1991,65.61570022517009,5416513927.924308,All causes,46590771.959729984,1.0000640901361386
61,Global,Both,1991,65.61570022517009,5416513927.924308,All causes,2600204002.7518463,1.0000640901361386
62,Global,Both,1991,65.61570022517009,5416513927.924308,"Communicable, maternal, neonatal, and nutritional diseases",15078048.316540295,0.1939430750962242
63,Global,Both,1991,65.61570022517009,5416513927.924308,"Communicable, maternal, neonatal, and nutritional diseases",1148666744.2624812,0.1939430750962242
64,Global,Both,1991,65.61570022517009,5416513927.924308,Injuries,4308596.030951569,0.0637135847723736
65,Global,Both,1991,65.61570022517009,5416513927.924308,Injuries,285867580.22008616,0.0637135847723736
66,Global,Both,1991,65.61570022517009,5416513927.924308,Total cancers,5869802.055012695,0.1471904785439183
67,Global,Both,1991,65.61570022517009,5416513927.924308,Total cancers,171883426.22561654,0.1471904785439183
68,Global,Both,1991,65.61570022517009,5416513927.924308,Other COVID-19 pandemic-related outcomes,0.0,0.0
69,Global,Both,1991,65.61570022517009,5416513927.924308,Other COVID-19 pandemic-related outcomes,0.0,0.0
70,Global,Both,1991,65.61570022517009,5416513927.924308,Non-communicable diseases,27204127.612238094,0.7424074302675409
71,Global,Both,1991,65.61570022517009,5416513927.924308,Non-communicable diseases,1165669678.2692852,0.7424074302675409
72,Global,Male,1992,63.33874858360835,2770141531.9487944,All causes,25341810.163321342,1.000140180566936
73,Global,Male,1992,63.33874858360835,2770141531.9487944,All causes,1387517911.4792247,1.000140180566936
74,Global,Male,1992,63.33874858360835,2770141531.9487944,"Communicable, maternal, neonatal, and nutritional diseases",7882210.369148442,0.196401073165826
