location,sex,cause,year,death_count,death rate(per 100k),prevelance rate(per 100k),population,life_exp,lethality
High SDI,Both,Neglected tropical diseases and malaria,1990,639.6869755453557,0.0727302430135514,3031.6467258951498,879533669.956481,75.59042305363428,0.002399034240774754
High SDI,Both,Nutritional deficiencies,1990,7797.308634563055,0.8865275885286862,8992.97344930457,879533669.956481,75.59042305363428,0.009858002956711073
High SDI,Both,Neoplasms,1990,1884415.944333248,214.25171186754991,3562.25391304431,879533669.956481,75.59042305363428,6.014498603903559
High SDI,Both,Neurological disorders,1990,369263.12527890975,41.98396694661853,43772.69457270514,879533669.956481,75.59042305363428,0.09591359946298121
High SDI,Both,Mental disorders,1990,115.64061151039768,0.0131479459468697,14080.75086194708,879533669.956481,75.59042305363428,9.337531837454589e-05
High SDI,Both,Chronic respiratory diseases,1990,360769.0532686377,41.01821972164956,12472.82461303497,879533669.956481,75.59042305363428,0.328860711139822
High SDI,Both,Self-harm and interpersonal violence,1990,177313.2622982219,20.159917505715885,2993.09972178868,879533669.956481,75.59042305363428,0.6735464695332066
High SDI,Both,Digestive diseases,1990,313562.61207298905,35.6510072080019,24903.06872652773,879533669.956481,75.59042305363428,0.143159092558039
High SDI,Both,Unintentional injuries,1990,184817.67288761813,21.013143578319525,23549.42132422616,879533669.956481,75.59042305363428,0.08922997847383421
High SDI,Both,Cardiovascular diseases,1990,3068129.442388966,348.8359283096883,9135.62948695578,879533669.956481,75.59042305363428,3.8184115151317193
High SDI,Both,Musculoskeletal disorders,1990,20519.5962074334,2.333008605395251,25894.802371174203,879533669.956481,75.59042305363428,0.00900956327819798
High SDI,Both,Other non-communicable diseases,1990,122023.31760867214,13.873638017144891,63867.78560218807,879533669.956481,75.59042305363428,0.02172243469275626
High SDI,Both,Nutritional deficiencies,1991,7898.113703658414,0.8907735798213656,8810.88097038646,886657831.1900867,75.76460992166423,0.010109926383244454
High SDI,Both,HIV/AIDS and sexually transmitted infections,1990,36908.38896962186,4.1963588467793445,15632.67013969964,879533669.956481,75.59042305363428,0.026843519432566826
High SDI,Both,Respiratory infections and tuberculosis,1990,303561.64604230644,34.513931235551986,23772.92414617652,879533669.956481,75.59042305363428,0.14518168241874854
High SDI,Both,Enteric infections,1990,8064.366484121832,0.9168911617130996,290.11473585976,879533669.956481,75.59042305363428,0.3160443260477193
High SDI,Both,Other infectious diseases,1990,22167.880018782973,2.520412893332418,730.3885819046,879533669.956481,75.59042305363428,0.3450783536018671
High SDI,Both,Maternal and neonatal disorders,1990,58453.90499936035,6.646011062004326,1415.21354315832,879533669.956481,75.59042305363428,0.46961188960730826
High SDI,Both,Skin and subcutaneous diseases,1990,10358.441427890815,1.1777197146305205,26455.19725692294,879533669.956481,75.59042305363428,0.004451751779406325
High SDI,Both,Transport injuries,1990,174308.07621476968,19.81823802417873,5198.22504647626,879533669.956481,75.59042305363428,0.3812500968501352
High SDI,Both,Neurological disorders,1991,380240.1439128322,42.88465409508287,43785.077908436135,886657831.1900867,75.76460992166423,0.09794353725888934
High SDI,Both,Mental disorders,1991,120.40955698862192,0.0135801605481797,14107.49471484158,886657831.1900867,75.76460992166423,9.626202825291789e-05
High SDI,Both,Neoplasms,1991,1914471.229497024,215.91995944223385,3702.4576708132895,886657831.1900867,75.76460992166423,5.83180089118492
High SDI,Both,Self-harm and interpersonal violence,1991,181424.2694227098,20.461587665582247,3001.92682403602,886657831.1900867,75.76460992166423,0.6816151380423099
High SDI,Both,Substance use disorders,1990,37932.77575193235,4.31282815515286,3590.29389525491,879533669.956481,75.59042305363428,0.12012465499977266
High SDI,Both,Diabetes and kidney diseases,1990,249032.96717908044,28.314205093638154,11004.80498464863,879533669.956481,75.59042305363428,0.2572894761255253
High SDI,Both,Neglected tropical diseases and malaria,1991,596.0757505017315,0.0672272583101949,2857.1143440470696,886657831.1900867,75.76460992166423,0.002352977522592542
High SDI,Both,Nutritional deficiencies,1992,8167.000155183727,0.9139609697922554,8628.94920325607,893583033.0960517,76.01718936297233,0.010591799166547173
