Year,unadjusted_cost_per_gflop,inflation_adjusted_cost_per_gflop,transistor_count(thousand),GFLOPS,price_of_memory(GB),price_of_flash_memory(TB),price_of_disk_storage(TB),price_of_solid_state_storage(TB)
1957,,,,,3786967000000.0,,,
1959,,,,,603280640000.0,,67477360000.0,
1960,,,,,45880510000.0,,31503645000.0,
1965,,,,,21704915000.0,,,
1970,,,,,4892935600.0,,1731185200.0,
1973,,,,,2327901600.0,,1513812400.0,
1974,,,,,1651140100.0,,971034000.0,
1975,,,,,240071620.0,,889688500.0,
1976,,,,,104782720.0,,,
1977,,,,,98385980.0,,,
1978,,,,,60305523.0,,,
1979,,,,,23907269.0,,659732200.0,
1980,,,,,20351056.0,,581010050.0,
1981,,,,,12749707.0,,526588640.0,
1982,,,,,5310322.7,,496166530.0,
1983,,,,,5145041.4,,311560860.0,
1984,"$20,000,000","$100,000,000",,,3315175.0,,93426150.0,
1985,,,,,720613.06,,75532904.0,
1986,,,,,447454.3,,43564812.0,
1987,,,,,302942.9,,34090570.0,
1988,,,,,291073.66,,21812290.0,
1989,,,,,236176.51,,15623316.0,
1990,,,,,90127.496,,6475771.0,
1991,,,,,75538.73,,5305764.0,
1992,,,,,48417.58,,2581349.0,
1993,,,,,47029.436,,1285968.9,
1994,,,,,45834.332,,756436.25,
1995,,,,,44583.576,,363201.0,
1996,,,,,8662.792,,210547.08,
1997,"$30,000","$57,000",9646.0,1300.0,3476.6582000000003,,78017.58,
1998,,,,,1339.6366,,39444.86,
1999,,,,,1213.7236,,13730.564,
2000,"$1,000","$2,000",37180.0,4900.0,1045.0329,,6119.577,
2000,$640,"$1,000",37180.0,4900.0,1045.0329,,6119.577,
2001,,,,,215.70897,,3785.6985,
2002,,,,,192.16372,,1750.5924,
2003,$90,$100,220673.0,35900.0,107.16631,269289.7,1055.0634,
2004,,,,,104.372016,262268.12,834.98285,
2005,,,,,100.94714,100921.24,538.3847,
2006,,,,,93.398016,18793.69,280.8012,
2007,$50,$70,805842.0,478200.0,30.443912,9139.2705,249.62117,
2008,,,,,11.736141,2200.7112,120.196144,
2009,,,,,11.778016,1950.4845,84.4339,
2010,,,,,11.587969,1412.2747,53.410732,
2011,$1.80,$2,2600000.0,10500000.0,5.897578,1158.3726,42.180378,
2012,$0.75,$1,2600000.0,17600000.0,4.126761,653.2789,41.32522,
2013,$0.22,$0.3,5000000.0,33900000.0,4.0671836,508.39658,40.72861,694.31946
2013,$0.16,$0.21,5000000.0,33900000.0,4.0671836,508.39658,40.72861,694.31946
2013,$0.12,$0.16,5000000.0,33900000.0,4.0671836,508.39658,40.72861,694.31946
2014,,,,,4.0022583,366.16135,38.26366,409.94592
2015,$0.08,$0.1,,,3.9975159,158.12556,30.935,272.9443
2016,,,,,2.9611106,156.15555,29.870235,219.02322
2017,$0.06,$0.07,19200000.0,93000000.0,2.8993510000000002,152.89864,26.396421,214.45508
2017,$0.03,$0.04,19200000.0,93000000.0,2.8993510000000002,152.89864,26.396421,214.45508
2018,,,,,2.8302207,,24.087029,107.34549
2019,,,,,2.779844,,18.981298,80.13651
2020,$0.03,$0.03,39500000.0,442000000.0,2.74597,,16.25,74.99
2020,$0.04,$0.04,39500000.0,442000000.0,2.74597,,16.25,74.99
2020,$0.04,$0.04,39500000.0,442000000.0,2.74597,,16.25,74.99
2021,,,,,2.4773096,,15.520852,71.62515
2022,$0.02,$0.02,,,1.8619322999999999,,12.63745,39.796032
2023,$0.01,$0.01,,,1.0884368999999998,,10.617405,25.906467
1956,,,,,,,87592750000.0,
1964,,,,,,,29360284000.0,
1966,,,,,,,8350479000.0,
