Country,Latitude,Longitude
Aruba,12.52111,-69.968338
Afghanistan,33.93911,67.709953
Angola,-11.202692,17.873887
Anguilla,18.220554,-63.068615
Åland Islands,60.250716,20.374146
Albania,41.153332,20.168331
Andorra,42.546245,1.601554
Netherlands Antilles,12.226079,-69.060087
Netherlands Antilles,12.226079,-69.060087
Netherlands Antilles,12.226079,-69.060087
United Arab Emirates,23.424076,53.847818
Argentina,-38.416097,-63.616672
Armenia,40.069099,45.038189
American Samoa,-14.270972,-170.132217
Antarctica,-75.250973,-0.071389
French Southern Territories,-49.280366,69.348557
French Southern and Antarctic Lands,-49.280366,69.348557
Antigua and Barbuda,17.060816,-61.796428
Australia,-25.274398,133.775136
Austria,47.516231,14.550072
Azerbaijan,40.143105,47.576927
Burundi,-3.373056,29.918886
Belgium,50.503887,4.469936
Benin,9.30769,2.315834
"Bonaire, Sint Eustatius and Saba",12.183333,-68.233333
"Caribbean Netherlands: Bonaire, Sint Eustatius and Saba",12.183333,-68.233333
Burkina Faso,12.238333,-1.561593
Bangladesh,23.684994,90.356331
Bulgaria,42.733883,25.48583
Bahrain,25.930414,50.637772
Bahamas,25.03428,-77.39628
The Bahamas,25.03428,-77.39628
Bosnia and Herzegovina,43.915886,17.679076
Saint Barthélemy,,
Belarus,53.709807,27.953389
Belize,17.189877,-88.49765
Bermuda,32.321384,-64.75737
Bolivia,-16.290154,-63.588653
Bolivia (Plurinational State of),-16.290154,-63.588653
Brazil,-14.235004,-51.92528
Barbados,13.193887,-59.543198
Brunei,4.535277,114.727669
Brunei Darussalam,4.535277,114.727669
Bhutan,27.514162,90.433601
Burma,21.913965,95.956223
Myanmar,21.913965,95.956223
Bouvet Island,-54.423199,3.413194
Botswana,-22.328474,24.684866
Central African Republic,6.611111,20.939444
Canada,56.130366,-106.346771
Cocos (Keeling) Islands,-12.164165,96.870956
Switzerland,46.818188,8.227512
Chile,-35.675147,-71.542969
China,35.86166,104.195397
"China, People's Republic of",35.86166,104.195397
Côte d'Ivoire,7.539989,-5.54708
Cameroon,7.369722,12.354722
"Congo, Democratic Republic of the",-4.038333,21.758664
Congo [DRC],-4.038333,21.758664
Zaire,-4.038333,21.758664
Congo [Republic],-0.228021,15.827659
"Congo, Republic of the",-0.228021,15.827659
Congo,-0.228021,15.827659
Cook Islands,-21.236736,-159.777671
Colombia,4.570868,-74.297333
Comoros,-11.875001,43.872219
Cape Verde,16.002082,-24.013197
Costa Rica,9.748917,-83.753428
Czechoslovakia,49.096397,18.11452
Cuba,21.521757,-77.781167
Curaçao,12.186111,-68.989444
Christmas Island,-10.447525,105.690449
Cayman Islands,19.513469,-80.566956
Cyprus,35.126413,33.429859
Czech Republic,49.817492,15.472962
Czechia,49.817492,15.472962
East Germany,52.194967,12.515583
German Democratic Republic,52.194967,12.515583
Germany,51.165691,10.451526
West Germany,50.609722,8.068889
Djibouti,11.825138,42.590275
Dominica,15.414999,-61.370976
Denmark,56.26392,9.501785
Dominican Republic,18.735693,-70.162651
Algeria,28.033886,1.659626
Ecuador,-1.831239,-78.183406
Egypt,26.820553,30.802498
Eritrea,15.179384,39.782334
Western Sahara,24.215527,-12.885834
Spain,40.463667,-3.74922
Estonia,58.595272,25.013607
Ethiopia,9.145,40.489673
Finland,61.92411,25.748151
Fiji,-16.578193,179.414413
Falkland Islands,-51.796253,-59.523613
Falkland Islands [Islas Malvinas],-51.796253,-59.523613
Falkland Islands (Malvinas),-51.796253,-59.523613
France,46.227638,2.213749
Faroe Islands,61.892635,-6.911806
Micronesia,7.425554,150.550812
"Micronesia, Federated States of",7.425554,150.550812
Micronesia (Federated States of),7.425554,150.550812
Gabon,-0.803689,11.609444
England,52.537312,-0.845502
Northern Ireland,54.7,-6.7
Scotland,56.7,-4.2
Wales,52.3,-3.6
United Kingdom,55.378051,-3.435973
United Kingdom of Great Britain and Northern Ireland,55.378051,-3.435973
Georgia,42.315407,43.356892
Guernsey,49.465691,-2.585278
Ghana,7.946527,-1.023194
Gibraltar,36.137741,-5.345374
Guinea,9.945587,-9.696645
Guadeloupe,16.995971,-62.067641
Gambia,13.443182,-15.310139
The Gambia,13.443182,-15.310139
Guinea-Bissau,11.803749,-15.180413
Equatorial Guinea,1.650801,10.267895
Greece,39.074208,21.824312
Grenada,12.262776,-61.604171
Greenland,71.706936,-42.604303
Guatemala,15.783471,-90.230759
French Guiana,3.933889,-53.125782
Guam,13.444304,144.793731
Guyana,4.860416,-58.93018
Hong Kong,22.396428,114.109497
Heard Island and McDonald Islands,-53.08181,73.504158
Honduras,15.199999,-86.241905
Croatia,45.1,15.2
Haiti,18.971187,-72.285215
Hungary,47.162494,19.503304
Upper Volta,12.266667,-2.066667
Indonesia,-0.789275,113.921327
Isle of Man,54.236107,-4.548056
India,20.593684,78.96288
British Indian Ocean Territory,-6.343194,71.876519
Ireland,53.41291,-8.24389
Iran,32.427908,53.688046
Iran (Islamic Republic of),32.427908,53.688046
Iraq,33.223191,43.679291
